XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
08/26/2025 00:00,3354.85,3386.32,3351.42,3372.14,1729,0.51,
08/25/2025 20:00,3365.53,3367.18,3351.76,3354.88,-1065,-0.32,
08/25/2025 16:00,3374.13,3374.9,3365.24,3365.48,-865,-0.26,
08/25/2025 12:00,3370.53,3376.13,3362.12,3374.13,360,0.11,
08/25/2025 08:00,3366.24,3371.52,3361.98,3370.51,427,0.13,
08/25/2025 04:00,3367.34,3369.72,3363.14,3366.18,-116,-0.03,
08/25/2025 00:00,3369.19,3369.59,3359.51,3367.33,-186,-0.06,
08/24/2025 20:00,3371.25,3371.28,3365.98,3369.18,-207,-0.06,
08/22/2025 20:00,3373.25,3373.51,3370.13,3371.92,-133,-0.04,
08/22/2025 16:00,3367.95,3375.49,3367.95,3373.25,530,0.16,
08/22/2025 12:00,3329.28,3378.83,3321.31,3368.01,3873,1.15,
08/22/2025 08:00,3327.42,3331.71,3325.11,3329.3,188,0.06,
08/22/2025 04:00,3332.06,3334.96,3325.77,3327.4,-466,-0.14,
08/22/2025 00:00,3338.45,3340.21,3331.56,3331.99,-646,-0.19,
08/21/2025 20:00,3338.91,3340.67,3337.34,3338.45,-46,-0.01,
08/21/2025 16:00,3343.68,3343.94,3336.49,3338.79,-489,-0.15,
08/21/2025 12:00,3333.57,3348.1,3333.57,3343.67,1010,0.30,
08/21/2025 08:00,3339.64,3342.18,3325.4,3333.66,-598,-0.18,
08/21/2025 04:00,3339.88,3341.47,3334.33,3339.55,-33,-0.01,
08/21/2025 00:00,3346.88,3346.88,3339.73,3339.8,-708,-0.21,
08/20/2025 20:00,3348.82,3352.26,3346.31,3346.9,-192,-0.06,
08/20/2025 16:00,3340.64,3349.31,3340.64,3348.72,808,0.24,
08/20/2025 12:00,3332.25,3350.12,3332.05,3340.61,836,0.25,
08/20/2025 08:00,3324.71,3332.93,3320.91,3332.26,755,0.23,
08/20/2025 04:00,3317.64,3327.5,3317.14,3324.7,706,0.21,
08/20/2025 00:00,3314.13,3318.52,3311.5,3317.64,351,0.11,
08/19/2025 20:00,3315.78,3317.61,3312.74,3314.3,-148,-0.04,
08/19/2025 16:00,3322.62,3324.43,3315.02,3315.77,-685,-0.21,
08/19/2025 12:00,3339.59,3340.62,3320.97,3322.61,-1698,-0.51,
08/19/2025 08:00,3340.61,3345.19,3336.53,3339.81,-80,-0.02,
08/19/2025 04:00,3337.71,3341.7,3334.38,3340.68,297,0.09,
08/19/2025 00:00,3330.98,3341.61,3325.94,3337.71,673,0.20,
08/18/2025 20:00,3333.49,3334.73,3330.44,3330.96,-253,-0.08,
08/18/2025 16:00,3335.57,3335.63,3330.18,3333.54,-203,-0.06,
08/18/2025 12:00,3345.52,3348.78,3332.18,3335.53,-999,-0.30,
08/18/2025 08:00,3348.88,3351.69,3344.38,3345.4,-348,-0.10,
08/18/2025 04:00,3347.09,3358.42,3346.11,3348.99,190,0.06,
08/18/2025 00:00,3327.16,3351.62,3326.81,3347.13,1997,0.60,
08/17/2025 20:00,3336.49,3336.67,3323.47,3327.01,-948,-0.28,
08/15/2025 20:00,3339.04,3339.41,3333.76,3333.79,-525,-0.16,
08/15/2025 16:00,3342.28,3342.46,3333.4,3339.07,-321,-0.10,
08/15/2025 12:00,3342.31,3345.93,3332.81,3342.25,-6,0.00,
08/15/2025 08:00,3346.21,3348.15,3336.56,3342.29,-392,-0.12,
08/15/2025 04:00,3343.44,3348.76,3340.08,3346.26,282,0.08,
08/15/2025 00:00,3335.69,3344.89,3332.43,3343.49,780,0.23,
08/14/2025 20:00,3338.11,3338.56,3331.7,3335.64,-247,-0.07,
08/14/2025 16:00,3341.68,3342.12,3329.8,3338.04,-364,-0.11,
08/14/2025 12:00,3355.59,3358.52,3334.44,3341.68,-1391,-0.42,
08/14/2025 08:00,3345.89,3359.16,3341.63,3355.39,950,0.28,
08/14/2025 04:00,3360.54,3366.29,3343.46,3345.95,-1459,-0.44,
08/14/2025 00:00,3362.91,3374.76,3355.69,3360.35,-256,-0.08,
08/13/2025 20:00,3357.8,3363.51,3355.47,3362.72,492,0.15,
08/13/2025 16:00,3357.96,3360.95,3349.85,3357.79,-17,-0.01,
08/13/2025 12:00,3362.39,3370.51,3353.95,3357.87,-452,-0.13,
