XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
09/26/2025 00:00,3744.71,3749.19,3740.2,3741.83,-288,-0.08,
09/25/2025 23:30,3743.01,3745.68,3739.67,3744.73,172,0.05,
09/25/2025 23:00,3748.81,3749.93,3738.09,3742.99,-582,-0.16,
09/25/2025 22:30,3749.4,3751.43,3748.21,3748.75,-65,-0.02,
09/25/2025 22:00,3748.66,3749.57,3746.28,3749.41,75,0.02,
09/25/2025 20:30,3748.81,3752.6,3748.81,3749.41,60,0.02,
09/25/2025 20:00,3746.75,3750.44,3746.17,3748.79,204,0.05,
09/25/2025 19:30,3751.77,3752.47,3744.63,3746.75,-502,-0.13,
09/25/2025 19:00,3755.34,3756.75,3750.87,3751.7,-364,-0.10,
09/25/2025 18:30,3750.03,3758.26,3748.92,3755.28,525,0.14,
09/25/2025 18:00,3741.75,3750.74,3736.74,3750.13,838,0.22,
09/25/2025 17:30,3739.85,3744.21,3738.37,3741.71,186,0.05,
09/25/2025 17:00,3733.74,3743.12,3732.15,3740.09,635,0.17,
09/25/2025 16:30,3737.72,3738.18,3732.65,3733.76,-396,-0.11,
09/25/2025 16:00,3736.12,3742.71,3735.22,3737.71,159,0.04,
09/25/2025 15:30,3730.57,3736.58,3729.19,3735.95,538,0.14,
09/25/2025 15:00,3731.49,3738.84,3728.08,3730.57,-92,-0.02,
09/25/2025 14:30,3733.6,3733.88,3723.61,3731.64,-196,-0.05,
09/25/2025 14:00,3733.72,3736.36,3724.72,3733.72,0,0.00,
09/25/2025 13:30,3741.35,3742.74,3722.21,3733.65,-770,-0.21,
09/25/2025 13:00,3738.65,3745.66,3733.12,3741.35,270,0.07,
09/25/2025 12:30,3754.38,3754.38,3730.61,3734.9,-1948,-0.52,
09/25/2025 12:00,3752.93,3755.86,3749.62,3754.12,119,0.03,
09/25/2025 11:30,3749.75,3754.14,3748.91,3752.94,319,0.09,
09/25/2025 11:00,3757.09,3757.62,3741.27,3749.75,-734,-0.20,
09/25/2025 10:30,3757.06,3760.8,3755.65,3757.11,5,0.00,
09/25/2025 10:00,3757.09,3758.94,3755.77,3757.02,-7,0.00,
09/25/2025 09:30,3750.64,3761.01,3750.47,3757.06,642,0.17,
09/25/2025 09:00,3756.46,3757.26,3750.26,3750.36,-610,-0.16,
09/25/2025 08:30,3757.52,3757.52,3751.52,3756.45,-107,-0.03,
09/25/2025 08:00,3752.32,3761.59,3751.23,3757.4,508,0.14,
09/25/2025 07:30,3744.92,3754.96,3743,3752.3,738,0.20,
09/25/2025 07:00,3741.03,3746.1,3739.96,3744.83,380,0.10,
09/25/2025 06:30,3744.74,3746.24,3739.84,3741.08,-366,-0.10,
09/25/2025 06:00,3738.59,3748.29,3737.84,3745.08,649,0.17,
09/25/2025 05:30,3736.49,3741.22,3735.66,3738.59,210,0.06,
09/25/2025 05:00,3738.25,3738.44,3734.09,3736.5,-175,-0.05,
09/25/2025 04:30,3734.12,3740.77,3733.67,3738.09,397,0.11,
09/25/2025 04:00,3736.55,3736.65,3731.76,3733.92,-263,-0.07,
09/25/2025 03:30,3735.77,3739.11,3734.44,3736.56,79,0.02,
09/25/2025 03:00,3739.62,3739.71,3734.54,3735.82,-380,-0.10,
09/25/2025 02:30,3735.69,3742.46,3735.69,3739.65,396,0.11,
09/25/2025 02:00,3735.94,3736.27,3729.7,3735.67,-27,-0.01,
09/25/2025 01:30,3744.21,3744.44,3733.12,3736.11,-810,-0.22,
09/25/2025 01:00,3748.99,3750.44,3740.5,3744.1,-489,-0.13,
09/25/2025 00:30,3750.52,3751.54,3746.59,3749.02,-150,-0.04,
09/25/2025 00:00,3742.87,3751.43,3741.73,3750.42,755,0.20,
09/24/2025 23:30,3739.6,3745.4,3739.6,3742.91,331,0.09,
09/24/2025 23:00,3741.02,3742.33,3739.06,3739.59,-143,-0.04,
09/24/2025 22:30,3744.65,3744.65,3739.46,3741.06,-359,-0.10,
09/24/2025 22:00,3738.94,3745.19,3738.86,3744.64,570,0.15,
09/24/2025 20:30,3731.91,3737.43,3731.56,3736.05,414,0.11,
09/24/2025 20:00,3730.17,3732.51,3729.95,3731.91,174,0.05,
09/24/2025 19:30,3718.32,3731.78,3718.32,3730.13,1181,0.32,
09/24/2025 19:00,3724.29,3724.43,3717.39,3718.26,-603,-0.16,
09/24/2025 18:30,3729.12,3731.19,3722.56,3724.02,-510,-0.14,
09/24/2025 18:00,3733.03,3734.08,3726.69,3729.11,-392,-0.11,
09/24/2025 17:30,3734.84,3735.34,3732.36,3733.1,-174,-0.05,
09/24/2025 17:00,3735.65,3738.87,3733.77,3734.77,-88,-0.02,
09/24/2025 16:30,3742.04,3743.11,3732.49,3735.75,-629,-0.17,
09/24/2025 16:00,3740.99,3745.22,3737.49,3742.16,117,0.03,
09/24/2025 15:30,3751.04,3751.59,3739.79,3741.03,-1001,-0.27,
09/24/2025 15:00,3752.8,3756.65,3750.97,3750.99,-181,-0.05,
09/24/2025 14:30,3758.83,3759.97,3749.59,3752.67,-616,-0.16,
09/24/2025 14:00,3761.56,3765.05,3753.45,3758.73,-283,-0.08,
09/24/2025 13:30,3767.41,3768.23,3759.01,3761.29,-612,-0.16,
09/24/2025 13:00,3768.07,3772.91,3766.8,3767.38,-69,-0.02,
09/24/2025 12:30,3767.63,3769.97,3764.03,3768.11,48,0.01,
09/24/2025 12:00,3769,3771.54,3764.8,3767.61,-139,-0.04,
09/24/2025 11:30,3765.32,3769.66,3764.18,3768.95,363,0.10,
09/24/2025 11:00,3762.22,3765.91,3759.58,3765.33,311,0.08,
09/24/2025 10:30,3764,3765.57,3760.22,3762.25,-175,-0.05,
09/24/2025 10:00,3768.46,3768.69,3759.65,3763.67,-479,-0.13,
09/24/2025 09:30,3767.76,3769.58,3763.03,3768.56,80,0.02,
09/24/2025 09:00,3770.14,3771.57,3766.82,3767.72,-242,-0.06,
09/24/2025 08:30,3770.44,3771.58,3767.09,3770.18,-26,-0.01,
09/24/2025 08:00,3777.43,3777.82,3770.32,3770.4,-703,-0.19,
09/24/2025 07:30,3775.35,3779.16,3774.12,3777.39,204,0.05,
09/24/2025 07:00,3771.16,3777,3770.61,3775.39,423,0.11,
09/24/2025 06:30,3771.14,3774.96,3770.03,3771.07,-7,0.00,
09/24/2025 06:00,3774.94,3776.06,3769.1,3771.03,-391,-0.10,
09/24/2025 05:30,3772.23,3776.89,3771.48,3774.92,269,0.07,
09/24/2025 05:00,3768.13,3773.41,3767.97,3772.26,413,0.11,
09/24/2025 04:30,3764.96,3768.29,3764.67,3768.14,318,0.08,
09/24/2025 04:00,3765.26,3767.71,3763.13,3764.99,-27,-0.01,
09/24/2025 03:30,3760.94,3766.56,3760.49,3765.28,434,0.12,
09/24/2025 03:00,3757.03,3761.7,3752.31,3760.94,391,0.10,
09/24/2025 02:30,3752.8,3759.25,3750.64,3757,420,0.11,
09/24/2025 02:00,3756.42,3757,3752.36,3752.78,-364,-0.10,
09/24/2025 01:30,3758.76,3760.73,3755.1,3756.51,-225,-0.06,
09/24/2025 01:00,3765.23,3771.68,3758.29,3758.72,-651,-0.17,
09/24/2025 00:30,3763.82,3765.52,3761.61,3765.18,136,0.04,
09/24/2025 00:00,3763.83,3765.25,3758.93,3763.83,0,0.00,
09/23/2025 23:30,3769.36,3769.58,3761.85,3764.23,-513,-0.14,
09/23/2025 23:00,3765.45,3770.09,3765.04,3769.38,393,0.10,
09/23/2025 22:30,3762.08,3766.61,3762.08,3765.49,341,0.09,
09/23/2025 22:00,3766.03,3767.49,3761.65,3762.07,-396,-0.11,
09/23/2025 20:30,3765.11,3766.51,3762.49,3764.04,-107,-0.03,
09/23/2025 20:00,3764.46,3767.39,3763.37,3765.15,69,0.02,
09/23/2025 19:30,3758.71,3768.23,3758.71,3764.45,574,0.15,
09/23/2025 19:00,3756.84,3765.31,3751.96,3758.71,187,0.05,
09/23/2025 18:30,3778.64,3780.99,3756.19,3756.67,-2197,-0.58,
09/23/2025 18:00,3777.46,3781.44,3776.92,3778.91,145,0.04,
09/23/2025 17:30,3782.25,3783.06,3775.84,3777.44,-481,-0.13,
09/23/2025 17:00,3779.29,3785.75,3779.26,3782.3,301,0.08,
09/23/2025 16:30,3775.3,3781.83,3765.19,3779.35,405,0.11,
09/23/2025 16:00,3779.18,3779.99,3773.35,3775.32,-386,-0.10,
09/23/2025 15:30,3780.44,3782.08,3775.21,3779.4,-104,-0.03,
09/23/2025 15:00,3774.01,3780.4,3772.81,3780.15,614,0.16,
09/23/2025 14:30,3771.25,3775.49,3770.92,3774.01,276,0.07,
09/23/2025 14:00,3783.37,3783.54,3767.72,3771.4,-1197,-0.32,
09/23/2025 13:30,3783.74,3788.66,3774.16,3783.9,16,0.00,
09/23/2025 13:00,3784.37,3787.93,3781.19,3783.64,-73,-0.02,
09/23/2025 12:30,3781.25,3785.37,3779.41,3784.32,307,0.08,
09/23/2025 12:00,3783.64,3784.91,3777.57,3781.18,-246,-0.07,
09/23/2025 11:30,3788.16,3788.5,3780.53,3783.53,-463,-0.12,
09/23/2025 11:00,3782.93,3788.88,3779.74,3788.17,524,0.14,
09/23/2025 10:30,3782.56,3785.41,3780.82,3782.87,31,0.01,
09/23/2025 10:00,3784.84,3787.9,3781.62,3782.55,-229,-0.06,
09/23/2025 09:30,3786.91,3787.56,3778.41,3784.87,-204,-0.05,
09/23/2025 09:00,3774.43,3791.06,3774.07,3787.15,1272,0.34,
09/23/2025 08:30,3759.14,3775.13,3759.14,3774.54,1540,0.41,
09/23/2025 08:00,3753.4,3759.58,3753.14,3759.26,586,0.16,
09/23/2025 07:30,3754.9,3757.34,3751.76,3753.46,-144,-0.04,
